Metacached,Noncached,Diff
8084000,838000,-7246000
131000,938000,807000
2911000,1798000,-1113000
180000,1249000,1069000
2969000,1404000,-1565000
205000,856000,651000
1930000,1730000,-200000
199000,1477000,1278000
8391000,1233000,-7158000
129000,893000,764000
2009000,1905000,-104000
175000,903000,728000
3000000,3632000,632000
198000,768000,570000
3056000,1308000,-1748000
154000,820000,666000
3025000,1200000,-1825000
131000,2840000,2709000
8274000,1100000,-7174000
160000,902000,742000
2001000,2091000,90000
151000,1371000,1220000
1949000,799000,-1150000
153000,1675000,1522000
2996000,2778000,-218000
1051725,8418956.25,
